fips,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response,census2000_population
05019,south,nonmetro,0.47,0.68,22.14,75.67,1.04,23546
05021,south,nonmetro,0.69,0.08,0.19,98.32,0.72,17609
05023,south,nonmetro,0.47,0.17,0.12,98.44,0.79,24046
05025,south,medium_small_metro,0.32,0.18,13.23,85.52,0.76,8571
05027,south,nonmetro,0.27,0.38,36.14,62.6,0.61,25603
05029,south,nonmetro,0.52,0.28,13.08,85.13,0.99,20336
05031,south,medium_small_metro,0.35,0.66,7.84,90.33,0.82,82148
05033,south,medium_small_metro,2.02,1.27,0.89,93.92,1.9,53247
05035,south,large_fringe,0.24,0.5,47.11,51.66,0.49,50866
05037,south,nonmetro,0.24,0.32,23.7,75.14,0.59,19526
05039,south,nonmetro,0.25,0.27,41.0,57.99,0.49,9210
05041,south,nonmetro,0.35,0.33,46.41,52.33,0.58,15341
05043,south,nonmetro,0.25,0.46,27.19,71.4,0.7,18723
05045,south,medium_small_metro,0.53,0.8,8.53,89.17,0.98,86014
05047,south,medium_small_metro,0.83,0.33,0.65,97.24,0.96,17771
05049,south,nonmetro,0.68,0.21,0.2,97.87,1.04,11642
05051,south,medium_small_metro,0.62,0.55,7.86,89.71,1.26,88068
05053,south,medium_small_metro,0.46,0.18,2.49,96.23,0.65,16464
05055,south,nonmetro,0.44,0.19,0.13,97.98,1.26,37331
05057,south,nonmetro,0.45,0.3,30.51,67.55,1.19,23587
05059,south,nonmetro,0.46,0.26,10.31,87.85,1.11,30353
05061,south,nonmetro,0.44,0.51,21.98,76.39,0.68,14300
05063,south,nonmetro,0.48,0.7,2.05,95.66,1.12,34233
